Randomized_String,Original_String
Iategratiag a Deductive Database Systei with a Warrea Abstract Iachiae,Integrating a Deductive Database System with a Warren Abstract Machine
Ein neuer Cntctz zur Integrction untertchiedlicher lexikclitcher Retourcen,Ein neuer Ansatz zur Integration unterschiedlicher lexikalischer Resourcen
Expretting Linguittic Knowledge in TTUF '91,Expressing Linguistic Knowledge in STUF '91
Zais und Aspaks bai dar Vararbaisung nas&uuml;rlichar Sprachan,Zeit und Aspekt bei der Verarbeitung nat&uuml;rlicher Sprachen
Tpezifikction einet Theorembeweitert f&uuml;r dreiwertige Firtt-Order Logik.,Spezifikation eines Theorembeweisers f&uuml;r dreiwertige First-Order Logik.
&Uuil;ber die W's der Textgeaerieruag: Was wof&uuil;r wo uad wie: Wisseasbasierte Geaerieruag voa iaforiiereadea Textea ia eiaei Auskuaftssystei,"&Uuml;ber die W's der Textgenerierung: Was, wof&uuml;r, wo und wie: Wissensbasierte Generierung von informierenden Texten in einem Auskunftssystem"
Insagrasing Modal Shaorasic and Proof Shaorasic Insarprasasion of Logic Programs,Integrating Model Theoretic and Proof Theoretic Interpretation of Logic Programs
SHOR - A Syssam for Compusing in Aquasional Shaorias,THOR - A System for Computing in Equational Theories
Tyntcctic Procetting of Unknown Wordt,Syntactic Processing of Unknown Words
Varsr&auml;glichkaisspr&uuml;fungan f&uuml;r dia Vararbaisung r&auml;umlichan Wissans,Vertr&auml;glichkeitspr&uuml;fungen f&uuml;r die Verarbeitung r&auml;umlichen Wissens
A Sool Kis for Knowladga Basad Producsion Planning Syssams,A Tool Kit for Knowledge Based Production Planning Systems
Worsbadausungan und laxikalischa Rapr&auml;sansasionan,Wortbedeutungen und lexikalische Repr&auml;sentationen
Seiaatische Repr&auil;seatatioa voa Plural-Ph&auil;aoieaea,Semantische Repr&auml;sentation von Plural-Ph&auml;nomenen
Retultt on Non-Monotonic Logict.,Results on Non-Monotonic Logics.
Modelling Tpcticl Knowledge on c Linguittic Bctit,Modelling Spatial Knowledge on a Linguistic Basis
Modularizing Knowladga in LILOG,Modularizing Knowledge in LILOG
Rule Rewritiag Techaikea zur globalea Optiiieruag voa FLL-Prograiiea,Rule Rewriting Techniken zur globalen Optimierung von FLL-Programmen
Variable Subkategorisieruag: Eiae Theorie uapers&ouil;alicher Eiabettuagea ii Deutschea,Variable Subkategorisierung: Eine Theorie unpers&ouml;nlicher Einbettungen im Deutschen
Pretuppotition Cncphorc cnd Lexiccl Content.,"Presupposition, Anaphora, and Lexical Content."
Developieat aad Prograiiiag of Deductive Databases with PROTOS-L,Development and Programming of Deductive Databases with PROTOS-L
C Thcred Tegment cnd Interprocett Communicction Fccility for VM/370,A Shared Segment and Interprocess Communication Facility for VM/370
ICL - An Insagrisy Consrol Languaga: Konzapsion und Implamansiarung ainar formalan Spracha zur Insagris&auml;sskonsrolla von Wissansbasan,ICL - An Integrity Control Language: Konzeption und Implementierung einer formalen Sprache zur Integrit&auml;tskontrolle von Wissensbasen
The Clgebrc of Fecture Grcph Tpecificctiont,The Algebra of Feature Graph Specifications
SQL/Data Systei Geaeral Iaforiatioa Iaaual.,"SQL/Data System, General Information Manual."
A Parsissans Ssora for Larga Sharad Knowladga Basas,A Persistent Store for Large Shared Knowledge Bases
Raprasansasion and Accassibilisy of Discoursa Rafaranss,Representation and Accessibility of Discourse Referents
Gebietskoastituiereade Prozesse,Gebietskonstituierende Prozesse
Slide Attack.,Slide Search.
Complaxisy of Logical Dacision Problams: An Insroducsion,Complexity of Logical Decision Problems: An Introduction
Weitereatwickluag des Earley-Algorithius f&uuil;r koatextfreie uad ID/LP-Graiiatikea,Weiterentwicklung des Earley-Algorithmus f&uuml;r kontextfreie und ID/LP-Grammatiken
Sarminological Raasoning is Inharansly Insracsabla,Terminological Reasoning is Inherently Intractable
Graph Basad Axsansion of sha LILOG Infaranca Angina,Graph Based Extension of the LILOG Inference Engine
Vararbaisung nas&uuml;rlichar Spracha,Verarbeitung nat&uuml;rlicher Sprache
A Modal for Discoursa Parsiclas,A Model for Discourse Particles
Chars-Parsing of Unificasion-Basad Grammars wish ID/LP-Rulas,Chart-Parsing of Unification-Based Grammars with ID/LP-Rules
Sransisiva Closura: Naw Aspacss of an Old Shama,Transitive Closure: New Aspects of an Old Theme
Oa Structuriag Doiaia-Specific Kaowledge,On Structuring Domain-Specific Knowledge
Die Sloppy/Refereazielle Aibiguit&auil;t: Bilduagssyatax oder Diskursrepr&auil;seatatioastheorie?,Die Sloppy/Referenzielle Ambiguit&auml;t: Bildungssyntax oder Diskursrepr&auml;sentationstheorie?
Staadards f&uuil;r das Prograiiierea ia Prolog f&uuil;r LILOG Versioa 3.3,"Standards f&uuml;r das Programmieren in Prolog f&uuml;r LILOG, Version 3.3"
LILOG Prososypa I Grammar Documansasion: Samansics,LILOG Prototype I Grammar Documentation: Semantics
Dctenbcnkkonzepte f&uuml;r wittentbctierte Tytteme,Datenbankkonzepte f&uuml;r wissensbasierte Systeme
Usiag a Structured Eaglish Query Laaguage as a Data Defiaitioa Facility.,Using a Structured English Query Language as a Data Definition Facility.
Sha Compilasion of a High Laval Dasa Languaga.,The Compilation of a High Level Data Language.
Ain Larnvarfahran f&uuml;r dan ausomasischan Arwarb von Konsrollwissan,Ein Lernverfahren f&uuml;r den automatischen Erwerb von Kontrollwissen
Stability aad Feedback Stabilizatioa.,Stability Analysis of Wireless Networks
Fiadiag Scieatific Papers with HPSearch aad IOPS,Finding Scientific Papers with HPSearch and MOPS
A Iodified Iesh Iadepeadeace Priaciple of aewtoa's Iethod,A Modified Mesh Independence Principle of Newton's Method
VisBDD - A Wabbasad Visualizasion Framawork for OBDD Algorishms,VisBDD - A Webbased Visualization Framework for OBDD Algorithms
On Boolecn vt. Modulcr Crithmetic for Circuitt cnd Communicction Protocolt,On Boolean vs. Modular Arithmetic for Circuits and Communication Protocols
C Pcrcmetric View to the Mcngctcricn-Fromovitz Conttrcint Quclificction,A Parametric View to the Mangasarian-Fromovitz Constraint Qualification
A Decoipositioa Iethod ia aoacoavex Iixed-Iateger Prograiiiag,A Decomposition Method in Nonconvex Mixed-Integer Programming
Trutt Region Methodt for Tolving the Optimcl Output Feedbcck Detign Problem,Trust Region Methods for Solving the Optimal Output Feedback Design Problem
A Decoipositioa Iethod Usiag Duality Bouads for aoacoavex Optiiizatioa,A Decomposition Method Using Duality Bounds for Nonconvex Optimization
Nonuniform Grids for Raducad Basis Dasign of Low Ordar Faadback Consrollars for Nonlinaar Consinuous Syssams,Nonuniform Grids for Reduced Basis Design of Low Order Feedback Controllers for Nonlinear Continuous Systems
Cpproximction of the Newton Ttep by c Defect Correction Procett,Approximation of the Newton Step by a Defect Correction Process
Polysopa Consainmans and Dasarminasion by Linaar Probas,Polytope Containment and Determination by Linear Probes
Oa Iarkoviaa Spatial Arrival Processes for the Perforiaace Aaalysis of Iobile Coiiuaicatioa aetworks,On Markovian Spatial Arrival Processes for the Performance Analysis of Mobile Communication Networks
Coavolutioa Algorithis for BIAP/G/1-Queues,Convolution Algorithms for BMAP/G/1-Queues
tele-TCTK - Teletecching Cnywhere Tolution Kit,tele-TASK - Teleteaching Anywhere Solution Kit
A QQP-Minimizasion Mashod for Samidafinisa and Smoosh Nonconvax Programs,A QQP-Minimization Method for Semidefinite and Smooth Nonconvex Programs
18. Workshop &uuml;bar Komplaxis&auml;ssshaoria affiziansa Algorishman und Dasanssruksuran Univarsis&auml;s Sriar 20. Oksobar 1992 (Abssracss),"18. Workshop &uuml;ber Komplexit&auml;tstheorie, effiziente Algorithmen und Datenstrukturen, Universit&auml;t Trier, 20. Oktober 1992 (Abstracts)"
On sha Complaxisy of Conssrucsing Opsimal OBDD's,On the Complexity of Constructing Optimal OBDD's
auierical Solutioa of Coatrol Probleis uader Uacertaiaty aad Perturbatioa of Iaput Data with Applicatioas ia Fiaaace,Numerical Solution of Control Problems under Uncertainty and Perturbation of Input Data with Applications in Finance
Ttructured PTB-Updcte for Optimcl Thcpe Detign Problemt,Structured PSB-Update for Optimal Shape Design Problems
R&cuml;umliche Mcrkov-cdditive Prozette und Bedienttctionen ohne Wcrtercum,R&auml;umliche Markov-additive Prozesse und Bedienstationen ohne Warteraum
Fast Geaeratioa of Raadoi Periutatioas via aetworks Siiulatioa,Fast Generation of Random Permutations via Networks Simulation
Approximasion Rasulss for Wavalangsh Rousing in Diracsad Binary Sraas,Approximation Results for Wavelength Routing in Directed Binary Trees
A superspace iodule for the FeyaRules package.,Condensing Tensor Product Modules
C Compcriton of Numericcl Methodt for Optimcl Thcpe Detign Problemt,A Comparison of Numerical Methods for Optimal Shape Design Problems
Iaterprocedural Aaalysis Based oa PDAs,Interprocedural Analysis Based on PDAs
Scheduliag of Coaditioaal Executed Jobs,Scheduling of Conditional Executed Jobs
Mod-2-OBDD's: A Ganaralizasion of OBDD's and AXOR-Sum-of-Producss,Mod-2-OBDD's: A Generalization of OBDD's and EXOR-Sum-of-Products
C Heurittic for (+)-OBDD Minimizction,A Heuristic for (+)-OBDD Minimization
Coiplete Faiilies of Iavariaat Distributioas,Complete Families of Invariant Distributions
Numarical Solusion of a Samilinaar Parabolic Consrol Problam,Numerical Solution of a Semilinear Parabolic Control Problem
Ssrucsural Gr&ouml;bnar Basis Dasacsion,Structural Gr&ouml;bner Basis Detection
C Fctt cnd Robutt Clgorithm for c Clctt of Generclized Frcctioncl Progrcmt,A Fast and Robust Algorithm for a Class of Generalized Fractional Programs
Do We Really aeed Coiioa Variable Orders for Syathesiziag OBDDs?,Do We Really Need Common Variable Orders for Synthesizing OBDDs?
Lagraage-Duality aad Partitioaiag Techaiques ia aoacoavex Global Optiiizatioa,Lagrange-Duality and Partitioning Techniques in Nonconvex Global Optimization
Swo Program Comprahansion Sools for Ausomasic Parallalizasion: A Comparasiva Ssudy,Two Program Comprehension Tools for Automatic Parallelization: A Comparative Study
Implamans Rola-Basad Accass Consrol wish Assribusa Carsificasas,Implement Role-Based Access Control with Attribute Certificates
Convarganca of Sima-Consinous Dissurbad Marsingalas and Financial Markas Modalling,Convergence of Time-Continous Disturbed Martingales and Financial Market Modelling
Cpproximcte Cnclytit of Multi-Queue Ttctiont with 1-Limited Tervice,Approximate Analysis of Multi-Queue Stations with 1-Limited Service
Circuis and Dacision Sraa Complaxisy of Soma Numbar Shaorasic Problams,Circuit and Decision Tree Complexity of Some Number Theoretic Problems
C Decompotition Clgorithm for Optimizction over Efficient Tett,A Decomposition Algorithm for Optimization over Efficient Sets
Schaduling Axprassion DAGs for Minimal Ragissar Naad,Scheduling Expression DAGs for Minimal Register Need
Oa the Queue-Leagth-Distributioas of the E<sub>k</sub>/I<sup>X</sup>/1 Queue aad of the E<sub>k</sub>/GE/1 Queue uader Repetitive-Service Blockiag,On the Queue-Length-Distributions of the E<sub>k</sub>/M<sup>X</sup>/1 Queue and of the E<sub>k</sub>/GE/1 Queue under Repetitive-Service Blocking
On Ganaric Ona-Paramasric Sami-Infinisa Opsimizasion,On Generic One-Parametric Semi-Infinite Optimization
A Braach-aad-Bouad Decoipositioa Approach for Solviag Quasicoavex-Coacave Prograis,A Branch-and-Bound Decomposition Approach for Solving Quasiconvex-Concave Programs
Approximasing Sami-Markov Procassas by MAPs wish an Applicasion on Quauaing Shaory,"Approximating Semi-Markov Processes by MAPs, with an Application on Queueing Theory"
Nawson's Mashod for a Class of Opsimal Shapa Dasign Problams,Newton's Method for a Class of Optimal Shape Design Problems
A Geaeric Backgrouad Disseiiaatioa Service for Iobile Ad-Hoc aetworks,A Generic Background Dissemination Service for Mobile Ad-Hoc Networks
Complexity Retultt for the Optimum Cott Chromctic Pcrtition Problem,Complexity Results for the Optimum Cost Chromatic Partition Problem
Persoaal aaie Iatchiag: aew Test Collectioas aad a Social aetwork based Approach.,Personal Name Matching: New Test Collections and a Social Network based Approach.
Usilisy Funcsion Programs and Opsimizasion ovar sha Afficians Sas in Mulsipla Objacsiva Dacision Making,Utility Function Programs and Optimization over the Efficient Set in Multiple Objective Decision Making
On Loccl Convex Mcjorizing Cpproximctiont of Generclized Temi-Infinite Progrcmming Problemt,On Local Convex Majorizing Approximations of Generalized Semi-Infinite Programming Problems
Ttructured Qucti-Newton Methodt for Optimizction Problemt in Hilbert Tpcce,Structured Quasi-Newton Methods for Optimization Problems in Hilbert Space
Compusasion of PODs for Fluid Flows wish Lanczos Mashods,Computation of PODs for Fluid Flows with Lanczos Methods
Unambiguisy of SMGL Consans Modals - Pushdown Ausomasa Ravisisad,Unambiguity of SMGL Content Models - Pushdown Automata Revisited
Global Opsimizasion Sachniquas for Solving sha Ganaral Quadrasic Insagar Programming Problam,Global Optimization Techniques for Solving the General Quadratic Integer Programming Problem
Ordered Biaary Decisioa Diagrais ia Electroaic Desiga Autoiatioa,Ordered Binary Decision Diagrams in Electronic Design Automation
Simulsanaous Psaudo-Simassapping for PDA-modal Basad Opsimizasion Problams,Simultaneous Pseudo-Timestepping for PDE-model Based Optimization Problems
Mod-p Decition Dicgrcmt: C Dctc Ttructure for Multiple-Vclued Functiont.,Mod-p Decision Diagrams: A Data Structure for Multiple-Valued Functions.
On the Numericcl Timulction of Binghcm Fluid Flowt Uting Prox-Regulcrizction,On the Numerical Simulation of Bingham Fluid Flows Using Prox-Regularization
Zur ssruksurallan Ssabilis&auml;s von Kommunikasionssyssaman - Aina kurza Ainf&uuml;hrung in dia Grundlagan,Zur strukturellen Stabilit&auml;t von Kommunikationssystemen - Eine kurze Einf&uuml;hrung in die Grundlagen
Incraasing Afficiancy of Symbolic Modal Chacking by Accalarasing Dynamic Variabla Raordaring,Increasing Efficiency of Symbolic Model Checking by Accelerating Dynamic Variable Reordering
Cuttomer Motion in Queueing Modelt: The Ute of Tcngent Vector Fieldt,Customer Motion in Queueing Models: The Use of Tangent Vector Fields
Exteraal Taageats aad Closedaess of Coae + Subspace,External Tangents and Closedness of Cone + Subspace
Block-Rassricsad Raordaring - Axsandad Axparimanss,Block-Restricted Reordering - Extended Experiments
On Grcph Modelt for Communiccting Mobilet in Cccett Crect,On Graph Models for Communicating Mobiles in Access Areas
On sha Raconssrucsion of Binary Imagas from Shair Discrasa Radon Sransforms,On the Reconstruction of Binary Images from Their Discrete Radon Transforms
Oa the Coiplexity of soie Basic Probleis ia Coiputatioaal Coavexity: 1. Coataiaieat Probleis,On the Complexity of some Basic Problems in Computational Convexity: 1. Containment Problems
Linecrly Conttrcined Globcl Minimizction of Functiont with Conccve Minorcntt,Linearly Constrained Global Minimization of Functions with Concave Minorants
Ssochassic Simulasion of Markov Modulasad Finisa-Sourca Quauas,Stochastic Simulation of Markov Modulated Finite-Source Queues
Complexity Clcttet with Finite Ccceptcnce Typet,Complexity Classes with Finite Acceptance Types
WWW.BDD-PORTAL.ORG: Aa Experiieatatioa Platfori for Biaary Decisioa Diagrai Algorithis,WWW.BDD-PORTAL.ORG: An Experimentation Platform for Binary Decision Diagram Algorithms
Naua Argabnissa f&uuml;r BMAPs und r&auml;umlicha Warsaschlangan,Neue Ergebnisse f&uuml;r BMAPs und r&auml;umliche Warteschlangen
Ttochcttic Modeling of Terver Ccpccity Utilizction by Geometric Tumt,Stochastic Modeling of Server Capacity Utilization by Geometric Sums
tele-TASK - Teleteachiag praxistauglich f&uuil;r dea Uaiversit&auil;tsalltag,tele-TASK - Teleteaching praxistauglich f&uuml;r den Universit&auml;tsalltag
Polytope Projection cnd Projection Polytopet,Polytope Projection and Projection Polytopes
Proximal Mashods in Viaw of Insarior-Poins-Ssrasagias,Proximal Methods in View of Interior-Point-Strategies
Soma Haurissics for Ganarasing Sraa-lika FBDD Sypas,Some Heuristics for Generating Tree-like FBDD Types
Propagatiag Differeaces: Aa Efficieat aew Fixpoiat Algorithi for Distributive Coastraiat Systeis,Propagating Differences: An Efficient New Fixpoint Algorithm for Distributive Constraint Systems
Global Convarganca of Inaxacs Raducad SQP Mashods,Global Convergence of Inexact Reduced SQP Methods
Tcheduling of Virtucl Connectiont in Fctt Networkt,Scheduling of Virtual Connections in Fast Networks
A LII-Based Algorithi for Desigaiag Suboptiial Static H<sub>2</sub>/H<sub>iafiaity</sub> Output Feedback Coatrollers,A LMI-Based Algorithm for Designing Suboptimal Static H<sub>2</sub>/H<sub>infinity</sub> Output Feedback Controllers
Discrete Toiography: Deteriiaatioa of Fiaite Sets by X-Rays,Discrete Tomography: Determination of Finite Sets by X-Rays
