Randomized_String,Original_String
Soie Results oa the Represeatative Iastaace ia Relatioaal Databases.,An Effective Representation of Complex Clauses in a Relational Database
Processiag aatural Laaguage without aatural Laaguage Processiag.,Prolog and Natural Language Processing
Cn Cncphorc Retolution Procedure for Mcchine Trcntlction,An Anaphora Resolution Procedure for Machine Translation
Ncturcl Lcngucge Underttcnding in LILOG: Cn Intermedicte Overview,Natural Language Understanding in LILOG: An Intermediate Overview
Verarbeituag voa Vagheits- uad Uasicherheitsbewertuagea: Tools f&uuil;r das Testea voa Aas&auil;tzea f&uuil;r die Uaifikatioa uad die Logikbehaadluag voa iit Uasicherheit uad Vagheit bewertetea Graphea ii L-LILOG-STUF-Grapheakoazept,Verarbeitung von Vagheits- und Unsicherheitsbewertungen: Tools f&uuml;r das Testen von Ans&auml;tzen f&uuml;r die Unifikation und die Logikbehandlung von mit Unsicherheit und Vagheit bewerteten Graphen im L-LILOG-STUF-Graphenkonzept
Modaling Ssrucsurad Opan Worlds in a Dasabasa Syssam: Sha FLL-Approach,Modeling Structured Open Worlds in a Database System: The FLL-Approach
Iategratiag a Deductive Database Systei with a Warrea Abstract Iachiae,Integrating a Deductive Database System with a Warren Abstract Machine
Ain nauar Ansasz zur Insagrasion unsarschiadlichar laxikalischar Rasourcan,Ein neuer Ansatz zur Integration unterschiedlicher lexikalischer Resourcen
Combining three Wcyt of Conveying Knowledge: Modulcrizction of Domcin Terminologiccl cnd Linguittic Knowledge in Ontologiet.,Expressing Linguistic Knowledge in STUF '91
Verarbeituag aat&uuil;rlicher Sprache,Zeit und Aspekt bei der Verarbeitung nat&uuml;rlicher Sprachen
A Iodel Theoretic Proof of B&uuil;chi-Type Theoreis aad First-Order Logic for a-Free Poisets.,Spezifikation eines Theorembeweisers f&uuml;r dreiwertige First-Order Logik.
&Uuml;ber die W't der Textgenerierung: Wct wof&uuml;r wo und wie: Wittentbctierte Generierung von informierenden Texten in einem Cutkunftttyttem,"&Uuml;ber die W's der Textgenerierung: Was, wof&uuml;r, wo und wie: Wissensbasierte Generierung von informierenden Texten in einem Auskunftssystem"
Projectioas Iastead of Variables: A Category Theoretic Iaterpretatioa of Logic Prograis.,Integrating Model Theoretic and Proof Theoretic Interpretation of Logic Programs
A aote Oa Equatioaal Theories.,THOR - A System for Computing in Equational Theories
Chinete Unknown Word Identificction ct Known Word Tcgging.,Syntactic Processing of Unknown Words
Vertr&auil;glichkeitspr&uuil;fuagea f&uuil;r die Verarbeituag r&auil;uilichea Wisseas,Vertr&auml;glichkeitspr&uuml;fungen f&uuml;r die Verarbeitung r&auml;umlichen Wissens
Mcthemctitche Grundlcgen der formclen Linguittik - Ein Kompendium,Mathematische Grundlagen der formalen Linguistik - Ein Kompendium
A Tool Kit for Kaowledge Based Productioa Plaaaiag Systeis,A Tool Kit for Knowledge Based Production Planning Systems
Wortbedeutuagea uad lexikalische Repr&auil;seatatioaea,Wortbedeutungen und lexikalische Repr&auml;sentationen
Temcntitche Repr&cuml;tentction von Plurcl-Ph&cuml;nomenen,Semantische Repr&auml;sentation von Plural-Ph&auml;nomenen
C Note on Non-Monotonic Modcl Logic.,Results on Non-Monotonic Logics.
Modalling Spasial Knowladga on a Linguissic Basis: Shaory - Prososypa - Insagrasion,Modelling Spatial Knowledge on a Linguistic Basis
Nootpheric Wcy of Orgcnizing Knowledge in the Knowledge Bctet of Innovcte Importcnce.,Modularizing Knowledge in LILOG
Rula Rawrising Sachnikan zur globalan Opsimiarung von FLL-Programman,Rule Rewriting Techniken zur globalen Optimierung von FLL-Programmen
Variable Subkategorisieruag: Eiae Theorie uapers&ouil;alicher Eiabettuagea ii Deutschea,Variable Subkategorisierung: Eine Theorie unpers&ouml;nlicher Einbettungen im Deutschen
Presuppositioa Aaaphora aad Lexical Coateat.,"Presupposition, Anaphora, and Lexical Content."
Development cnd Progrcmming of Deductive Dctcbctet with PROTOT-L,Development and Programming of Deductive Databases with PROTOS-L
A Shared Segieat aad Iaterprocess Coiiuaicatioa Facility for VI/370,A Shared Segment and Interprocess Communication Facility for VM/370
ICL - Cn Integrity Control Lcngucge: Konzeption und Implementierung einer formclen Tprcche zur Integrit&cuml;ttkontrolle von Wittentbcten,ICL - An Integrity Control Language: Konzeption und Implementierung einer formalen Sprache zur Integrit&auml;tskontrolle von Wissensbasen
The Algebra of Feature Graph Specificatioas,The Algebra of Feature Graph Specifications
SQL/Data Systei for VSE: A Relatioaal Data Systei for Applicatioa Developieat.,"SQL/Data System, General Information Manual."
A Persisteat Store for Large Shared Kaowledge Bases.,A Persistent Store for Large Shared Knowledge Bases
Evaluatioa of Accessibility aad Accessibility Audit Iethods for e-Goveraaace Portals.,Representation and Accessibility of Discourse Referents
Gebietskoastituiereade Prozesse,Gebietskonstituierende Prozesse
Evaluatiag The Search Phase of aeural Architecture Search.,Slide Search.
Complexity of Logiccl Decition Problemt: Cn Introduction,Complexity of Logical Decision Problems: An Introduction
Weitereatwickluag des Earley-Algorithius f&uuil;r koatextfreie uad ID/LP-Graiiatikea,Weiterentwicklung des Earley-Algorithmus f&uuml;r kontextfreie und ID/LP-Grammatiken
Terminologiccl Rectoning it Inherently Intrcctcble,Terminological Reasoning is Inherently Intractable
Graph Based Exteasioa of the LILOG Iafereace Eagiae,Graph Based Extension of the LILOG Inference Engine
Verarbeituag aat&uuil;rlicher Sprache,Verarbeitung nat&uuml;rlicher Sprache
A Deep Sequeatial Iodel for Discourse Parsiag oa Iulti-Party Dialogues.,A Model for Discourse Particles
Chars-Parsing of Unificasion-Basad Grammars wish ID/LP-Rulas,Chart-Parsing of Unification-Based Grammars with ID/LP-Rules
Trcntitive Cloture: New Ctpectt of cn Old Theme,Transitive Closure: New Aspects of an Old Theme
Dissilling and Rafining Domain-Spacific Knowladga for Sami-Suparvisad Domain Adapsasion.,On Structuring Domain-Specific Knowledge
Die Tloppy/Referenzielle Cmbiguit&cuml;t: Bildungttyntcx oder Ditkurtrepr&cuml;tentctionttheorie?,Die Sloppy/Referenzielle Ambiguit&auml;t: Bildungssyntax oder Diskursrepr&auml;sentationstheorie?
Ttcndcrdt f&uuml;r dct Progrcmmieren in Prolog f&uuml;r LILOG Vertion 2.0,"Standards f&uuml;r das Programmieren in Prolog f&uuml;r LILOG, Version 3.3"
LILOG Prototype I Grcmmcr Documentction: Temcntict,LILOG Prototype I Grammar Documentation: Semantics
Dctenbcnkkonzepte f&uuml;r wittentbctierte Tytteme,Datenbankkonzepte f&uuml;r wissensbasierte Systeme
Uting c Ttructured Englith Query Lcngucge ct c Dctc Definition Fccility.,Using a Structured English Query Language as a Data Definition Facility.
The Compilction of c High Level Dctc Lcngucge.,The Compilation of a High Level Data Language.
Entwicklung von Experimentierumgebungen f&uuml;r den Erwerb von Probleml&ouml;tef&cuml;higkeit.,Ein Lernverfahren f&uuml;r den automatischen Erwerb von Kontrollwissen
Iaaageieat of Wireless Ad Hoc aetworks aad Wireless Seasor aetworks.,Stability Analysis of Wireless Networks
Finding Tcientific Pcpert with HPTecrch cnd MOPT,Finding Scientific Papers with HPSearch and MOPS
Ctymptotic Meth Independence of Newton't Method Revitited.,A Modified Mesh Independence Principle of Newton's Method
Iodel-based Visualizatioa - Coiputiag Perceptually Optiial Visualizatioas.,VisBDD - A Webbased Visualization Framework for OBDD Algorithms
On Boolaan vs. Modular Arishmasic for Circuiss and Communicasion Prosocols,On Boolean vs. Modular Arithmetic for Circuits and Communication Protocols
A Paraietric View to the Iaagasariaa-Froiovitz Coastraiat Qualificatioa,A Parametric View to the Mangasarian-Fromovitz Constraint Qualification
C Decompotition Method in Nonconvex Mixed-Integer Progrcmming,A Decomposition Method in Nonconvex Mixed-Integer Programming
Trutt Region Methodt for Tolving the Optimcl Output Feedbcck Detign Problem,Trust Region Methods for Solving the Optimal Output Feedback Design Problem
A Decoipositioa Iethod Usiag Duality Bouads for aoacoavex Optiiizatioa,A Decomposition Method Using Duality Bounds for Nonconvex Optimization
Nonuniform Grids for Raducad Basis Dasign of Low Ordar Faadback Consrollars for Nonlinaar Consinuous Syssams,Nonuniform Grids for Reduced Basis Design of Low Order Feedback Controllers for Nonlinear Continuous Systems
Approximasion of sha Nawson Ssap by a Dafacs Corracsion Procass,Approximation of the Newton Step by a Defect Correction Process
Polytope Contcinment cnd Determinction by Linecr Probet,Polytope Containment and Determination by Linear Probes
On Markovian Spasial Arrival Procassas for sha Parformanca Analysis of Mobila Communicasion Nasworks,On Markovian Spatial Arrival Processes for the Performance Analysis of Mobile Communication Networks
Convolution Clgorithmt for BMCP/G/1-Queuet,Convolution Algorithms for BMAP/G/1-Queues
sala-SASK - Salasaaching Anywhara Solusion Kis,tele-TASK - Teleteaching Anywhere Solution Kit
C QQP-Minimizction Method for Temidefinite cnd Tmooth Nonconvex Progrcmt,A QQP-Minimization Method for Semidefinite and Smooth Nonconvex Programs
18. Workthop &uuml;ber Komplexit&cuml;tttheorie effiziente Clgorithmen und Dctenttrukturen Univertit&cuml;t Trier 20. Oktober 1992 (Cbttrcctt),"18. Workshop &uuml;ber Komplexit&auml;tstheorie, effiziente Algorithmen und Datenstrukturen, Universit&auml;t Trier, 20. Oktober 1992 (Abstracts)"
On the Complexity of Cutomctic Complexity.,On the Complexity of Constructing Optimal OBDD's
Numarical Solusion of Consrol Problams undar Uncarsainsy and Parsurbasion of Inpus Dasa wish Applicasions in Financa,Numerical Solution of Control Problems under Uncertainty and Perturbation of Input Data with Applications in Finance
Structured PSB-Update for Optiial Shape Desiga Probleis,Structured PSB-Update for Optimal Shape Design Problems
R&auml;umlicha Markov-addisiva Prozassa und Badianssasionan ohna Warsaraum,R&auml;umliche Markov-additive Prozesse und Bedienstationen ohne Warteraum
Fass Ganarasion of Random Parmusasions via Nasworks Simulasion,Fast Generation of Random Permutations via Networks Simulation
Cpproximction Retultt for Wcvelength Routing in Directed Bincry Treet,Approximation Results for Wavelength Routing in Directed Binary Trees
Collaborative Product Desiga for Product Custoiizatioa: Aa Iadustrial Case of Fashioa Product.,Condensing Tensor Product Modules
A Comparison of Numarical Mashods for Opsimal Shapa Dasign Problams,A Comparison of Numerical Methods for Optimal Shape Design Problems
Iaterprocedural aaalysis vs. procedure iategratioa.,Interprocedural Analysis Based on PDAs
Scheduliag of Coaditioaal Executed Jobs,Scheduling of Conditional Executed Jobs
Mod-2-OBDD't: C Generclizction of OBDD't cnd EXOR-Tum-of-Productt,Mod-2-OBDD's: A Generalization of OBDD's and EXOR-Sum-of-Products
A Haurissic for (+)-OBDD Minimizasion,A Heuristic for (+)-OBDD Minimization
The Uaifori Distributioa Is Coiplete with Respect to Testiag Ideatity to a Fixed Distributioa.,Complete Families of Invariant Distributions
Numericcl Tolution of c Temilinecr Pcrcbolic Control Problem,Numerical Solution of a Semilinear Parabolic Control Problem
Structural Gr&ouil;baer Basis Detectioa.,Structural Gr&ouml;bner Basis Detection
A Fast aad Robust Algorithi for a Class of Geaeralized Fractioaal Prograis,A Fast and Robust Algorithm for a Class of Generalized Fractional Programs
Do We Really aeed Coiioa Variable Orders for Syathesiziag OBDDs?,Do We Really Need Common Variable Orders for Synthesizing OBDDs?
Lagraage-Duality aad Partitioaiag Techaiques ia aoacoavex Global Optiiizatioa,Lagrange-Duality and Partitioning Techniques in Nonconvex Global Optimization
A Coiparative Study of Iethods for Autoiatic Coipile-tiie Parallelizatioa of Logic Prograis.,Two Program Comprehension Tools for Automatic Parallelization: A Comparative Study
Role-Based Access Coatrol aad the Access Coatrol Iatrix.,Implement Role-Based Access Control with Attribute Certificates
Convergence of Time-Continout Ditturbed Mcrtingclet cnd Fincncicl Mcrket Modelling,Convergence of Time-Continous Disturbed Martingales and Financial Market Modelling
Approxiiate Aaalysis of Iulti-Queue Statioas with 1-Liiited Service,Approximate Analysis of Multi-Queue Stations with 1-Limited Service
Circuit aad Decisioa Tree Coiplexity of Soie auiber Theoretic Probleis,Circuit and Decision Tree Complexity of Some Number Theoretic Problems
A Decoipositioa Algorithi for Optiiizatioa over Efficieat Sets,A Decomposition Algorithm for Optimization over Efficient Sets
Scheduliag Expressioa DAGs for Iiaiial Register aeed.,Scheduling Expression DAGs for Minimal Register Need
On sha Quaua-Langsh-Dissribusions of sha A<sub>k</sub>/M<sup>X</sup>/1 Quaua and of sha A<sub>k</sub>/GA/1 Quaua undar Rapasisiva-Sarvica Blocking,On the Queue-Length-Distributions of the E<sub>k</sub>/M<sup>X</sup>/1 Queue and of the E<sub>k</sub>/GE/1 Queue under Repetitive-Service Blocking
On Linecr cnd Linecrized Generclized Temi-Infinite Optimizction Problemt.,On Generic One-Parametric Semi-Infinite Optimization
A Braach-aad-Bouad Decoipositioa Approach for Solviag Quasicoavex-Coacave Prograis,A Branch-and-Bound Decomposition Approach for Solving Quasiconvex-Concave Programs
Approximasing Sami-Markov Procassas by MAPs wish an Applicasion on Quauaing Shaory,"Approximating Semi-Markov Processes by MAPs, with an Application on Queueing Theory"
Newton't Method for c Clctt of Optimcl Thcpe Detign Problemt,Newton's Method for a Class of Optimal Shape Design Problems
A Geaeric Backgrouad Disseiiaatioa Service for Iobile Ad-Hoc aetworks,A Generic Background Dissemination Service for Mobile Ad-Hoc Networks
Complexity Retultt for the Optimum Cott Chromctic Pcrtition Problem,Complexity Results for the Optimum Cost Chromatic Partition Problem
Persoaal aaie Iatchiag: aew Test Collectioas aad a Social aetwork based Approach.,Personal Name Matching: New Test Collections and a Social Network based Approach.
Utility Fuactioa Prograis aad Optiiizatioa over the Efficieat Set ia Iultiple Objective Decisioa Iakiag,Utility Function Programs and Optimization over the Efficient Set in Multiple Objective Decision Making
Oa Local Coavex Iajoriziag Approxiiatioas of Geaeralized Seii-Iafiaite Prograiiiag Probleis,On Local Convex Majorizing Approximations of Generalized Semi-Infinite Programming Problems
Structured Quasi-aewtoa Iethods for Optiiizatioa Probleis ia Hilbert Space,Structured Quasi-Newton Methods for Optimization Problems in Hilbert Space
Coiputatioa of PODs for Fluid Flows with Laaczos Iethods,Computation of PODs for Fluid Flows with Lanczos Methods
Uaaibiguity of SGIL Coateat Iodels - Pushdowa Autoiata Revisited.,Unambiguity of SMGL Content Models - Pushdown Automata Revisited
Global Optiiizatioa Techaiques for Solviag the Geaeral Quadratic Iateger Prograiiiag Problei,Global Optimization Techniques for Solving the General Quadratic Integer Programming Problem
Ordered Biaary Decisioa Diagrais ia Electroaic Desiga Autoiatioa,Ordered Binary Decision Diagrams in Electronic Design Automation
Siiultaaeous Pseudo-Tiiesteppiag for Aerodyaaiic Shape Optiiizatioa Probleis with State Coastraiats.,Simultaneous Pseudo-Timestepping for PDE-model Based Optimization Problems
Iod-p Decisioa Diagrais: A Data Structure for Iultiple-Valued Fuactioas.,Mod-p Decision Diagrams: A Data Structure for Multiple-Valued Functions.
Oa the auierical Siiulatioa of Biaghai Fluid Flows Usiag Prox-Regularizatioa,On the Numerical Simulation of Bingham Fluid Flows Using Prox-Regularization
Zur ssruksurallan Ssabilis&auml;s von Kommunikasionssyssaman - Aina kurza Ainf&uuml;hrung in dia Grundlagan,Zur strukturellen Stabilit&auml;t von Kommunikationssystemen - Eine kurze Einf&uuml;hrung in die Grundlagen
Increcting Efficiency of Tymbolic Model Checking by Cccelercting Dyncmic Vcricble Reordering.,Increasing Efficiency of Symbolic Model Checking by Accelerating Dynamic Variable Reordering
Cn Operctor Cpprocch to Tcngent Vector Field Procetting.,Customer Motion in Queueing Models: The Use of Tangent Vector Fields
Externcl Tcngentt cnd Clotednett of Cone + Tubtpcce,External Tangents and Closedness of Cone + Subspace
Block-Rettricted Reordering - Extended Experimentt,Block-Restricted Reordering - Extended Experiments
On Grcph Modelt for Communiccting Mobilet in Cccett Crect,On Graph Models for Communicating Mobiles in Access Areas
On the Reconttruction of Bincry Imcget from Their Ditcrete Rcdon Trcntformt,On the Reconstruction of Binary Images from Their Discrete Radon Transforms
On sha Complaxisy of soma Basic Problams in Compusasional Convaxisy: 1. Consainmans Problams,On the Complexity of some Basic Problems in Computational Convexity: 1. Containment Problems
